ferdatimi,fjoldi,hlutfall,kjordaemi,kjorstadur,sveitarfelag,svfnr
11-15,404,0.22786238014664412,Reykjavíkurkjördæmi suður,Árbæjarskóli,Reykjavíkurborg,0000
16-20,345,0.19458544839255498,Reykjavíkurkjördæmi suður,Árbæjarskóli,Reykjavíkurborg,0000
21-25,312,0.17597292724196278,Reykjavíkurkjördæmi suður,Árbæjarskóli,Reykjavíkurborg,0000
>26,92,0.05188945290468133,Reykjavíkurkjördæmi suður,Árbæjarskóli,Reykjavíkurborg,0000
0-5,2,0.001949317738791423,Suðvesturkjördæmi,Ásgarður,Kjósarhreppur,1606
6-10,2,0.001949317738791423,Suðvesturkjördæmi,Ásgarður,Kjósarhreppur,1606
11-15,4,0.003898635477582846,Suðvesturkjördæmi,Ásgarður,Kjósarhreppur,1606
16-20,9,0.008771929824561403,Suðvesturkjördæmi,Ásgarður,Kjósarhreppur,1606
21-25,17,0.016569200779727095,Suðvesturkjördæmi,Ásgarður,Kjósarhreppur,1606
>26,992,0.9668615984405458,Suðvesturkjördæmi,Ásgarður,Kjósarhreppur,1606
0-5,152,0.046483180428134555,Suðvesturkjördæmi,Íþróttahúsið Mýrin,Garðabær,1300
6-10,800,0.24464831804281345,Suðvesturkjördæmi,Íþróttahúsið Mýrin,Garðabær,1300
11-15,550,0.16819571865443425,Suðvesturkjördæmi,Íþróttahúsið Mýrin,Garðabær,1300
16-20,495,0.15137614678899083,Suðvesturkjördæmi,Íþróttahúsið Mýrin,Garðabær,1300
21-25,270,0.08256880733944955,Suðvesturkjördæmi,Íþróttahúsið Mýrin,Garðabær,1300
>26,1003,0.3067278287461774,Suðvesturkjördæmi,Íþróttahúsið Mýrin,Garðabær,1300
0-5,127,0.06013257575757576,Norðvesturkjördæmi,Íþróttahúsið að Jaðarsbökkum,Akraneskaupstaður,3000
6-10,445,0.21070075757575757,Norðvesturkjördæmi,Íþróttahúsið að Jaðarsbökkum,Akraneskaupstaður,3000
11-15,753,0.3565340909090909,Norðvesturkjördæmi,Íþróttahúsið að Jaðarsbökkum,Akraneskaupstaður,3000
16-20,493,0.2334280303030303,Norðvesturkjördæmi,Íþróttahúsið að Jaðarsbökkum,Akraneskaupstaður,3000
21-25,169,0.08001893939393939,Norðvesturkjördæmi,Íþróttahúsið að Jaðarsbökkum,Akraneskaupstaður,3000
>26,125,0.059185606060606064,Norðvesturkjördæmi,Íþróttahúsið að Jaðarsbökkum,Akraneskaupstaður,3000
0-5,204,0.2015810276679842,Reykjavíkurkjördæmi suður,Íþróttamiðstöðin Austurbergi,Reykjavíkurborg,0000
6-10,555,0.5484189723320159,Reykjavíkurkjördæmi suður,Íþróttamiðstöðin Austurbergi,Reykjavíkurborg,0000
11-15,249,0.24604743083003952,Reykjavíkurkjördæmi suður,Íþróttamiðstöðin Austurbergi,Reykjavíkurborg,0000
16-20,0,0.0,Reykjavíkurkjördæmi suður,Íþróttamiðstöðin Austurbergi,Reykjavíkurborg,0000
21-25,2,0.001976284584980237,Reykjavíkurkjördæmi suður,Íþróttamiðstöðin Austurbergi,Reykjavíkurborg,0000
>26,2,0.001976284584980237,Reykjavíkurkjördæmi suður,Íþróttamiðstöðin Austurbergi,Reykjavíkurborg,0000
0-5,77,0.14128440366972478,Norðvesturkjördæmi,Íþróttamiðstöðin Blönudósi,Blönduósbær,5604
6-10,201,0.3688073394495413,Norðvesturkjördæmi,Íþróttamiðstöðin Blönudósi,Blönduósbær,5604
11-15,49,0.08990825688073395,Norðvesturkjördæmi,Íþróttamiðstöðin Blönudósi,Blönduósbær,5604
16-20,66,0.12110091743119267,Norðvesturkjördæmi,Íþróttamiðstöðin Blönudósi,Blönduósbær,5604
21-25,48,0.08807339449541285,Norðvesturkjördæmi,Íþróttamiðstöðin Blönudósi,Blönduósbær,5604
>26,104,0.1908256880733945,Norðvesturkjördæmi,Íþróttamiðstöðin Blönudósi,Blönduósbær,5604
0-5,188,0.4,Norðausturkjördæmi,Íþróttamiðstöðin Seyðisfirði,Múlaþing,7400
6-10,162,0.3446808510638298,Norðausturkjördæmi,Íþróttamiðstöðin Seyðisfirði,Múlaþing,7400
11-15,48,0.10212765957446808,Norðausturkjördæmi,Íþróttamiðstöðin Seyðisfirði,Múlaþing,7400
16-20,10,0.02127659574468085,Norðausturkjördæmi,Íþróttamiðstöðin Seyðisfirði,Múlaþing,7400
21-25,7,0.014893617021276596,Norðausturkjördæmi,Íþróttamiðstöðin Seyðisfirði,Múlaþing,7400
>26,55,0.11702127659574468,Norðausturkjördæmi,Íþróttamiðstöðin Seyðisfirði,Múlaþing,7400
0-5,162,0.10163111668757842,Reykjavíkurkjördæmi suður,Ölduselsskóli,Reykjavíkurborg,0000
6-10,501,0.31430363864491845,Reykjavíkurkjördæmi suður,Ölduselsskóli,Reykjavíkurborg,0000
11-15,602,0.37766624843161856,Reykjavíkurkjördæmi suður,Ölduselsskóli,Reykjavíkurborg,0000
16-20,282,0.17691342534504392,Reykjavíkurkjördæmi suður,Ölduselsskóli,Reykjavíkurborg,0000
21-25,47,0.029485570890840654,Reykjavíkurkjördæmi suður,Ölduselsskóli,Reykjavíkurborg,0000
>26,0,0.0,Reykjavíkurkjördæmi suður,Ölduselsskóli,Reykjavíkurborg,0000
0-5,3,0.004784688995215311,Norðausturkjördæmi,Þelamerkurskóli,Hörgársveit,6515
6-10,3,0.004784688995215311,Norðausturkjördæmi,Þelamerkurskóli,Hörgársveit,6515
11-15,0,0.0,Norðausturkjördæmi,Þelamerkurskóli,Hörgársveit,6515
16-20,0,0.0,Norðausturkjördæmi,Þelamerkurskóli,Hörgársveit,6515
21-25,2,0.003189792663476874,Norðausturkjördæmi,Þelamerkurskóli,Hörgársveit,6515
>26,619,0.9872408293460925,Norðausturkjördæmi,Þelamerkurskóli,Hörgársveit,6515
